"predicate","belief_content","utterance_type","content","prior","mean_belief_rating","count"
"MC","not_p","MC","ballet",0,0.50530612244898,49
"MC","not_p","MC","garage",0,0.509387755102041,49
"MC","not_p","MC","hat",0,0.389387755102041,49
"MC","not_p","MC","kids",0,0.489795918367347,49
"MC","not_p","MC","muffins",0,0.471224489795918,49
"MC","not_p","MC","pizza",0,0.471428571428571,49
"MC","p","MC","ballet",0,0.49469387755102,49
"MC","p","MC","garage",0,0.490612244897959,49
"MC","p","MC","hat",0,0.610612244897959,49
"MC","p","MC","kids",0,0.510204081632653,49
"MC","p","MC","muffins",0,0.528775510204082,49
"MC","p","MC","pizza",0,0.528571428571429,49
"simple","not_p","polar","charley",0.804632352941177,0.2925,4
"simple","not_p","polar","danny",0.697062937062937,0.44,4
"simple","not_p","polar","frank",0.67972027972028,0.408181818181818,11
"simple","not_p","polar","grace",0.790144927536232,0.492222222222222,9
"simple","not_p","polar","jackson",0.774965034965035,0.39625,8
"simple","not_p","polar","jayden",0.687794117647059,0.26125,8
"simple","not_p","polar","jon",0.7559375,0.453333333333333,12
"simple","not_p","polar","josie",0.73343949044586,0.4825,4
"simple","not_p","polar","mary",0.815167785234899,0.299230769230769,13
"simple","not_p","polar","owen",0.74648275862069,0.429,10
"simple","not_p","polar","tony",0.747279411764706,0.435714285714286,7
"simple","not_p","polar","zoe",0.745971223021583,0.4825,8
"simple","p","polar","charley",0.804632352941177,0.7075,4
"simple","p","polar","danny",0.697062937062937,0.56,4
"simple","p","polar","frank",0.67972027972028,0.591818181818182,11
"simple","p","polar","grace",0.790144927536232,0.507777777777778,9
"simple","p","polar","jackson",0.774965034965035,0.60375,8
"simple","p","polar","jayden",0.687794117647059,0.73875,8
"simple","p","polar","jon",0.7559375,0.546666666666667,12
"simple","p","polar","josie",0.73343949044586,0.5175,4
"simple","p","polar","mary",0.815167785234899,0.700769230769231,13
"simple","p","polar","owen",0.74648275862069,0.571,10
"simple","p","polar","tony",0.747279411764706,0.564285714285714,7
"simple","p","polar","zoe",0.745971223021583,0.5175,8
"think","not_p","pos","charley",0.804632352941177,0.7375,4
"think","not_p","pos","danny",0.697062937062937,0.49,6
"think","not_p","pos","frank",0.67972027972028,0.748333333333333,6
"think","not_p","pos","grace",0.790144927536232,0.64,3
"think","not_p","pos","jackson",0.774965034965035,0.3425,4
"think","not_p","pos","jayden",0.687794117647059,0.552,5
"think","not_p","pos","jon",0.7559375,0.488333333333333,6
"think","not_p","pos","josie",0.73343949044586,0.52,2
"think","not_p","pos","mary",0.815167785234899,0.226666666666667,3
"think","not_p","pos","owen",0.74648275862069,0.49,2
"think","not_p","pos","tony",0.747279411764706,0.2725,4
"think","not_p","pos","zoe",0.745971223021583,0.315,4
"think","not_p","neg","charley",0.195367647058823,0.1375,4
"think","not_p","neg","danny",0.302937062937063,0.36,4
"think","not_p","neg","frank",0.32027972027972,0.243333333333333,3
"think","not_p","neg","grace",0.209855072463768,0.795,2
"think","not_p","neg","jackson",0.225034965034965,0.403333333333333,3
"think","not_p","neg","jayden",0.312205882352941,0.16,1
"think","not_p","neg","jon",0.2440625,0.475,2
