"predicate","belief_content","utterance_type","mean_belief_rating","ci_low","ci_high","YMin","YMax"
"MC","not_p","MC",0.472755102040816,0.0208554421768707,0.0201360544217687,0.451899659863946,0.492891156462585
"MC","p","MC",0.527244897959184,0.01993537414966,0.0194328231292515,0.507309523809524,0.546677721088435
"simple","not_p","polar",0.403775510204082,0.0359438775510205,0.0382729591836735,0.367831632653061,0.442048469387755
"simple","p","polar",0.596224489795918,0.036125,0.0373571428571429,0.560099489795918,0.633581632653061
"think","not_p","pos",0.498163265306122,0.0749030612244898,0.0812346938775511,0.423260204081633,0.579397959183674
"think","not_p","neg",0.308163265306122,0.0724540816326531,0.076158163265306,0.235709183673469,0.384321428571429
"think","p","pos",0.501836734693878,0.072469387755102,0.0820612244897959,0.429367346938776,0.583897959183673
"think","p","neg",0.691836734693878,0.0796530612244898,0.0773520408163265,0.612183673469388,0.769188775510204
"know","not_p","pos",0.150408163265306,0.0485969387755102,0.0549081632653061,0.101811224489796,0.205316326530612
"know","not_p","neg",0.754081632653061,0.0838826530612246,0.076127551020408,0.670198979591837,0.830209183673469
"know","p","pos",0.849591836734694,0.0591836734693877,0.0481734693877551,0.790408163265306,0.897765306122449
"know","p","neg",0.245918367346939,0.0740867346938776,0.0808214285714285,0.171831632653061,0.326739795918367
"say","not_p","pos",0.413469387755102,0.0514336734693878,0.0504183673469388,0.362035714285714,0.463887755102041
"say","not_p","neg",0.538571428571429,0.0732755102040816,0.0755102040816327,0.465295918367347,0.614081632653061
"say","p","pos",0.586530612244898,0.0479591836734694,0.0471632653061224,0.538571428571429,0.63369387755102
"say","p","neg",0.461428571428571,0.0720561224489796,0.0761530612244897,0.389372448979592,0.537581632653061
"confirm","not_p","pos",0.368163265306122,0.0565459183673469,0.0588010204081633,0.311617346938776,0.426964285714286
"confirm","not_p","neg",0.505918367346939,0.0706683673469387,0.0626734693877552,0.43525,0.568591836734694
"confirm","p","pos",0.631836734693878,0.0626734693877551,0.0653112244897959,0.569163265306122,0.697147959183673
"confirm","p","neg",0.494081632653061,0.0641020408163265,0.0698010204081633,0.429979591836735,0.563882653061225
"inform","not_p","pos",0.166530612244898,0.0518469387755102,0.0612397959183674,0.114683673469388,0.227770408163265
"inform","not_p","neg",0.69,0.0881836734693876,0.0875714285714286,0.601816326530612,0.777571428571429
"inform","p","pos",0.833469387755102,0.0540918367346939,0.0508214285714285,0.779377551020408,0.88429081632653
"inform","p","neg",0.31,0.0812397959183674,0.0887908163265306,0.228760204081633,0.398790816326531
