"predicate","certainty_content","utterance_type","count","mean_certainty_rating","ci_low","ci_high","YMin","YMax"
"MC","not_p","MC",131,0.300458015267176,0.0322137404580153,0.033587786259542,0.26824427480916,0.334045801526718
"MC","p","MC",169,0.429408284023669,0.0357426035502959,0.0354689349112426,0.393665680473373,0.464877218934911
"simple","not_p","polar",28,0.219642857142857,0.0564375,0.0621607142857143,0.163205357142857,0.281803571428571
"simple","p","polar",72,0.526111111111111,0.0504236111111111,0.0512638888888889,0.4756875,0.577375
"think","not_p","pos",23,0.604782608695652,0.110478260869565,0.107010869565217,0.494304347826087,0.71179347826087
"think","not_p","neg",10,0.626,0.171075,0.171,0.454925,0.797
"think","p","pos",27,0.627037037037037,0.0714814814814815,0.067074074074074,0.555555555555556,0.694111111111111
"think","p","neg",40,0.73075,0.0685,0.0677625,0.66225,0.7985125
"know","not_p","pos",5,0.402,0.108,0.07,0.294,0.472
"know","not_p","neg",37,0.896486486486486,0.0421824324324324,0.0367837837837839,0.854304054054054,0.93327027027027
"know","p","pos",45,0.860888888888889,0.0615777777777778,0.0466666666666666,0.799311111111111,0.907555555555556
"know","p","neg",13,0.497692307692308,0.160788461538462,0.141538461538462,0.336903846153846,0.639230769230769
"say","not_p","pos",17,0.301764705882353,0.0964705882352941,0.104735294117647,0.205294117647059,0.4065
"say","not_p","neg",27,0.568518518518519,0.1015,0.0992777777777778,0.467018518518518,0.667796296296296
"say","p","pos",33,0.546969696969697,0.077590909090909,0.0745530303030304,0.469378787878788,0.621522727272727
"say","p","neg",23,0.510434782608696,0.107423913043478,0.0930434782608696,0.403010869565217,0.603478260869565
"confirm","not_p","pos",14,0.292142857142857,0.108589285714286,0.0935714285714286,0.183553571428571,0.385714285714286
"confirm","not_p","neg",27,0.525185185185185,0.077787037037037,0.08,0.447398148148148,0.605185185185185
"confirm","p","pos",36,0.625833333333333,0.071951388888889,0.0766805555555555,0.553881944444444,0.702513888888889
"confirm","p","neg",23,0.39304347826087,0.090445652173913,0.0935326086956521,0.302597826086957,0.486576086956522
"inform","not_p","pos",3,0.473333333333333,0.393333333333333,0.276666666666667,0.08,0.75
"inform","not_p","neg",36,0.815833333333333,0.0827847222222221,0.0594583333333334,0.733048611111111,0.875291666666667
"inform","p","pos",47,0.84,0.0466010638297872,0.0457500000000001,0.793398936170213,0.88575
"inform","p","neg",14,0.534285714285714,0.152178571428571,0.122214285714286,0.382107142857143,0.6565
