"predicate","belief_content","utterance_type","mean_belief_rating","ci_low","ci_high","YMin","YMax"
"MC","not_p","MC",0.5025,0.0841666666666666,0.0733541666666666,0.418333333333333,0.575854166666667
"MC","p","MC",0.4975,0.0658333333333333,0.0700104166666666,0.431666666666667,0.567510416666667
"simple","not_p","polar",0.55375,0.152625,0.12125,0.401125,0.675
"simple","p","polar",0.44625,0.13128125,0.1388125,0.31496875,0.5850625
"think","not_p","pos",0.6525,0.0824999999999999,0.0825,0.57,0.735
"think","not_p","neg",0.4,0.28025,0.28,0.11975,0.68
"think","p","pos",0.3475,0.0825,0.0825,0.265,0.43
"think","p","neg",0.6,0.28,0.28,0.32,0.88
"know","not_p","pos",0.1475,0.1225,0.1225,0.025,0.27
"know","not_p","neg",0.83,0.085,0.0850000000000001,0.745,0.915
"know","p","pos",0.8525,0.1225,0.1225,0.73,0.975
"know","p","neg",0.17,0.085,0.085,0.085,0.255
"say","not_p","pos",0.625,0.2425,0.1625,0.3825,0.7875
"say","not_p","neg",0.525,0.205,0.16,0.32,0.685
"say","p","pos",0.375,0.1625,0.2425,0.2125,0.6175
"say","p","neg",0.475,0.16,0.175749999999999,0.315,0.650749999999999
"confirm","not_p","pos",0.435,0.145,0.195,0.29,0.63
"confirm","not_p","neg",0.645,0.3025,0.2475,0.3425,0.8925
"confirm","p","pos",0.565,0.195,0.145,0.37,0.71
"confirm","p","neg",0.355,0.2825,0.3375,0.0725,0.6925
"inform","not_p","pos",0.2175,0.1875,0.235,0.03,0.4525
"inform","not_p","neg",0.68,0.2,0.2,0.48,0.88
"inform","p","pos",0.7825,0.235,0.1875,0.5475,0.97
"inform","p","neg",0.32,0.2,0.2,0.12,0.52
