"predicate","utterance_type","certainty_content","mean_certainty_rating","mean_belief_rating","count"
"MC","MC","not_p",0.389166666666667,0.645833333333333,12
"MC","MC","p",0.428333333333333,0.640833333333333,12
"simple","polar","not_p",0.5025,0.7125,4
"simple","polar","p",0.5675,0.605,4
"think","pos","not_p",0.5025,0.6525,4
"think","neg","not_p",0.585,0.68,2
"think","neg","p",0.515,0.88,2
"know","pos","p",0.83,0.8525,4
"know","neg","not_p",0.81,0.83,4
"say","pos","not_p",0.523333333333333,0.743333333333333,3
"say","pos","p",0.61,0.73,1
"say","neg","not_p",0.453333333333333,0.626666666666667,3
"say","neg","p",0.62,0.78,1
"confirm","pos","not_p",0.28,0.72,1
"confirm","pos","p",0.56,0.66,3
"confirm","neg","not_p",0.743333333333333,0.793333333333333,3
"confirm","neg","p",0.7,0.8,1
"inform","pos","not_p",0.5,0.59,1
"inform","pos","p",0.933333333333333,0.906666666666667,3
"inform","neg","not_p",0.85,0.88,2
"inform","neg","p",0.54,0.52,2
