"predicate","utterance_type","prior_condition","speaker_ci_low","speaker_ci_high","ah_ci_low","ah_ci_high","speaker_YMin","speaker_YMax","ah_YMin","ah_YMax","rating_type","rating_value","YMax","YMin"
"MC","pos","neutral",0.069203125,0.0731354166666667,NA,NA,0.454546875,0.596885416666667,NA,NA,"mean_speaker_rating",0.52375,0.596885416666667,0.454546875
"MC","pos","neutral",0.069203125,0.0731354166666667,NA,NA,0.454546875,0.596885416666667,NA,NA,"mean_ah_rating",NA,NA,NA
"Polar","pos","high_prob",0.13628125,0.12875,NA,NA,0.61996875,0.885,NA,NA,"mean_speaker_rating",0.75625,0.885,0.61996875
"Polar","pos","high_prob",0.13628125,0.12875,NA,NA,0.61996875,0.885,NA,NA,"mean_ah_rating",NA,NA,NA
"Polar","pos","low_prob",0.12253125,0.1275,NA,NA,0.15871875,0.40875,NA,NA,"mean_speaker_rating",0.28125,0.40875,0.15871875
"Polar","pos","low_prob",0.12253125,0.1275,NA,NA,0.15871875,0.40875,NA,NA,"mean_ah_rating",NA,NA,NA
"think","pos","high_prob",0.145,0.1475,0.19003125,0.1688125,0.525,0.8175,0.49121875,0.8500625,"mean_speaker_rating",0.67,0.8175,0.525
"think","pos","high_prob",0.145,0.1475,0.19003125,0.1688125,0.525,0.8175,0.49121875,0.8500625,"mean_ah_rating",0.68125,0.8500625,0.49121875
"think","pos","low_prob",0.16125,0.16134375,0.21253125,0.17875,0.2025,0.52509375,0.36496875,0.75625,"mean_speaker_rating",0.36375,0.52509375,0.2025
"think","pos","low_prob",0.16125,0.16134375,0.21253125,0.17875,0.2025,0.52509375,0.36496875,0.75625,"mean_ah_rating",0.5775,0.75625,0.36496875
"think","neg","high_prob",0.2725625,0.231375,0.15384375,0.17878125,0.2999375,0.803875,0.25490625,0.58753125,"mean_speaker_rating",0.5725,0.803875,0.2999375
"think","neg","high_prob",0.2725625,0.231375,0.15384375,0.17878125,0.2999375,0.803875,0.25490625,0.58753125,"mean_ah_rating",0.40875,0.58753125,0.25490625
"think","neg","low_prob",0.21253125,0.205125,0.172625,0.22878125,0.20496875,0.622625,0.178625,0.58003125,"mean_speaker_rating",0.4175,0.622625,0.20496875
"think","neg","low_prob",0.21253125,0.205125,0.172625,0.22878125,0.20496875,0.622625,0.178625,0.58003125,"mean_ah_rating",0.35125,0.58003125,0.178625
"know","pos","high_prob",0.04878125,0.0550312499999999,0.19375,0.19,0.83996875,0.94378125,0.37,0.75375,"mean_speaker_rating",0.88875,0.94378125,0.83996875
"know","pos","high_prob",0.04878125,0.0550312499999999,0.19375,0.19,0.83996875,0.94378125,0.37,0.75375,"mean_ah_rating",0.56375,0.75375,0.37
"know","pos","low_prob",0.24625,0.2351875,0.2325625,0.24875,0.26125,0.7426875,0.2349375,0.71625,"mean_speaker_rating",0.5075,0.7426875,0.26125
"know","pos","low_prob",0.24625,0.2351875,0.2325625,0.24875,0.26125,0.7426875,0.2349375,0.71625,"mean_ah_rating",0.4675,0.71625,0.2349375
"know","neg","high_prob",0.11125,0.10628125,0.1450625,0.13375,0.12875,0.34628125,0.2586875,0.5375,"mean_speaker_rating",0.24,0.34628125,0.12875
"know","neg","high_prob",0.11125,0.10628125,0.1450625,0.13375,0.12875,0.34628125,0.2586875,0.5375,"mean_ah_rating",0.40375,0.5375,0.2586875
"know","neg","low_prob",0.2225625,0.2350625,0.16878125,0.21,0.0949375,0.5525625,0.08621875,0.465,"mean_speaker_rating",0.3175,0.5525625,0.0949375
"know","neg","low_prob",0.2225625,0.2350625,0.16878125,0.21,0.0949375,0.5525625,0.08621875,0.465,"mean_ah_rating",0.255,0.465,0.08621875
"say","pos","high_prob",0.1625625,0.15003125,0.142625,0.12509375,0.4674375,0.78003125,0.536125,0.80384375,"mean_speaker_rating",0.63,0.78003125,0.4674375
"say","pos","high_prob",0.1625625,0.15003125,0.142625,0.12509375,0.4674375,0.78003125,0.536125,0.80384375,"mean_ah_rating",0.67875,0.80384375,0.536125
"say","pos","low_prob",0.15628125,0.16125,0.18625,0.18375,0.29871875,0.61625,0.2175,0.5875,"mean_speaker_rating",0.455,0.61625,0.29871875
"say","pos","low_prob",0.15628125,0.16125,0.18625,0.18375,0.29871875,0.61625,0.2175,0.5875,"mean_ah_rating",0.40375,0.5875,0.2175
