"predicate","utterance_type","prior_condition_embedded","mean_speaker_rating","speaker_ci_low","speaker_ci_high","mean_ah_rating","ah_ci_low","ah_ci_high","speaker_YMin","speaker_YMax","ah_YMin","ah_YMax"
"inform","neg","high_prob",0.749481865284974,0.0230641191709845,0.0213277202072539,0.9060103626943,0.0150006476683937,0.0138361398963731,0.72641774611399,0.770809585492228,0.891009715025907,0.919846502590674
"inform","neg","low_prob",0.629300518134715,0.0233711139896373,0.0229863989637306,0.86479274611399,0.0177836787564767,0.0165628238341969,0.605929404145078,0.652286917098446,0.847009067357513,0.881355569948187
"inform","pos","high_prob",0.760932642487047,0.021115932642487,0.0208056994818653,0.913445595854922,0.0144112694300517,0.013113341968912,0.73981670984456,0.781738341968912,0.899034326424871,0.926558937823834
"inform","pos","low_prob",0.53520725388601,0.025651554404145,0.0247972797927463,0.799326424870466,0.0265084196891192,0.0237830310880829,0.509555699481865,0.560004533678757,0.772818005181347,0.823109455958549
"know","neg","high_prob",0.781088082901554,0.0235764248704664,0.023660621761658,0.900984455958549,0.0173892487046632,0.0156748704663212,0.757511658031088,0.804748704663212,0.883595207253886,0.91665932642487
"know","neg","low_prob",0.694974093264249,0.0259073834196891,0.0234747409326425,0.861217616580311,0.0226165803108808,0.0217616580310881,0.66906670984456,0.718448834196891,0.83860103626943,0.882979274611399
"know","pos","high_prob",0.796165803108808,0.0201327720207254,0.0196949481865285,0.930984455958549,0.0108821243523315,0.0106742227979275,0.776033031088083,0.815860751295337,0.920102331606218,0.941658678756477
"know","pos","low_prob",0.626243523316062,0.0314300518134715,0.0284203367875648,0.845284974093264,0.0233160621761658,0.0219689119170985,0.594813471502591,0.654663860103627,0.821968911917098,0.867253886010363
"MC","pos","neutral",0.936092400690846,0.00523262089810017,0.00496221934369601,NA,NA,NA,0.930859779792746,0.941054620034542,NA,NA
"Polar","neg","high_prob",0.910388601036269,0.019231865284974,0.0164261658031088,NA,NA,NA,0.891156735751295,0.926814766839378,NA,NA
"Polar","neg","low_prob",0.831968911917098,0.02497603626943,0.0220738341968911,NA,NA,NA,0.806992875647668,0.85404274611399,NA,NA
"Polar","pos","high_prob",0.938756476683938,0.010363341968912,0.0103134715025907,NA,NA,NA,0.928393134715026,0.949069948186528,NA,NA
"Polar","pos","low_prob",0.770051813471503,0.0310900259067357,0.0298244818652849,NA,NA,NA,0.738961787564767,0.799876295336788,NA,NA
"say","neg","high_prob",0.723056994818653,0.0233698186528498,0.022077720207254,0.904663212435233,0.0157810880829015,0.0156217616580311,0.699687176165803,0.745134715025907,0.888882124352332,0.920284974093264
"say","neg","low_prob",0.58300518134715,0.0242027202072539,0.0217104922279793,0.835544041450777,0.0207784974093264,0.0212720207253886,0.558802461139896,0.60471567357513,0.814765544041451,0.856816062176166
"say","pos","high_prob",0.711735751295337,0.0198704663212435,0.0198212435233162,0.916865284974093,0.0128095854922281,0.0118154145077721,0.691865284974093,0.731556994818653,0.904055699481865,0.928680699481865
"say","pos","low_prob",0.49860103626943,0.0252636010362695,0.0267888601036269,0.800466321243523,0.0265051813471503,0.0255718911917098,0.473337435233161,0.525389896373057,0.773961139896373,0.826038212435233
"think","neg","high_prob",0.59259067357513,0.0273866580310881,0.0251858808290156,0.832435233160622,0.0220259067357512,0.0211431347150259,0.565204015544041,0.617776554404145,0.81040932642487,0.853578367875648
"think","neg","low_prob",0.474248704663212,0.0233426165803109,0.0233685233160622,0.771476683937824,0.0236794041450776,0.0231910621761658,0.450906088082902,0.497617227979275,0.747797279792746,0.79466774611399
"think","pos","high_prob",0.579067357512953,0.0220479274611398,0.0206042746113989,0.824533678756477,0.0187124352331607,0.0164993523316062,0.557019430051814,0.599671632124352,0.805821243523316,0.841033031088083
"think","pos","low_prob",0.39119170984456,0.0231917098445595,0.0247422279792746,0.731347150259067,0.0241353626943006,0.0255738341968912,0.368,0.415933937823834,0.707211787564767,0.756920984455959
