"predicate","utterance_type","mean_speaker_rating","speaker_ci_low","speaker_ci_high","mean_ah_rating","ah_ci_low","ah_ci_high","speaker_YMin","speaker_YMax","ah_YMin","ah_YMax"
"inform","neg",0.689391191709845,0.0158688471502589,0.0154802461139896,0.885401554404145,0.0116058937823834,0.0108685233160623,0.673522344559586,0.704871437823834,0.873795660621762,0.896270077720207
"inform","pos",0.648069948186529,0.0181803756476683,0.018812176165803,0.856386010362694,0.0154459196891192,0.0151955958549223,0.62988957253886,0.666882124352332,0.840940090673575,0.871581606217616
"know","neg",0.738031088082902,0.017487694300518,0.0163099093264248,0.88110103626943,0.013705634715026,0.0136499352331606,0.720543393782384,0.754340997409326,0.867395401554404,0.894750971502591
"know","pos",0.711204663212435,0.0190430699481865,0.0180187823834197,0.888134715025907,0.0136139896373058,0.0126839378238343,0.692161593264249,0.729223445595855,0.874520725388601,0.900818652849741
"MC","pos",0.936092400690846,0.00562791450777211,0.00512240932642483,NA,NA,NA,0.930464486183074,0.941214810017271,NA,NA
"Polar","neg",0.871178756476684,0.0166972150259068,0.0155722150259067,NA,NA,NA,0.854481541450777,0.886750971502591,NA,NA
"Polar","pos",0.85440414507772,0.0173445595854923,0.0165284974093264,NA,NA,NA,0.837059585492228,0.870932642487047,NA,NA
"say","neg",0.653031088082902,0.0181751943005181,0.0154310233160622,0.870103626943005,0.0144452720207254,0.0129575777202073,0.634855893782383,0.668462111398964,0.85565835492228,0.883061204663212
"say","pos",0.605168393782383,0.0186599740932643,0.0179970854922279,0.858665803108808,0.0156386010362695,0.0144844559585492,0.586508419689119,0.623165479274611,0.843027202072539,0.873150259067357
"think","neg",0.533419689119171,0.0188604274611399,0.0176330958549221,0.801955958549223,0.0173610751295337,0.0165573186528499,0.514559261658031,0.551052784974093,0.784594883419689,0.818513277202073
"think","pos",0.485129533678756,0.017119170984456,0.0166897668393782,0.777940414507772,0.0153189766839378,0.0152205310880829,0.4680103626943,0.501819300518135,0.762621437823834,0.793160945595855
