"predicate","utterance_type","prior_condition_embedded","mean_speaker_rating","speaker_ci_low","speaker_ci_high","mean_ah_rating","ah_ci_low","ah_ci_high","speaker_YMin","speaker_YMax","ah_YMin","ah_YMax"
"inform","neg","high_prob",0.895,0.03878125,0.0412812499999999,0.935,0.03875,0.04,0.85621875,0.93628125,0.89625,0.975
"inform","neg","low_prob",0.5825,0.22375,0.19628125,0.9075,0.0912499999999999,0.0575,0.35875,0.77878125,0.81625,0.965
"inform","pos","high_prob",0.77875,0.22753125,0.16,0.94125,0.0487500000000001,0.0425,0.55121875,0.93875,0.8925,0.98375
"inform","pos","low_prob",0.5125,0.18628125,0.1763125,0.68,0.23878125,0.208875,0.32621875,0.6888125,0.44121875,0.888875
"know","neg","high_prob",0.7975,0.2038125,0.15625,0.92875,0.0588124999999999,0.04753125,0.5936875,0.95375,0.8699375,0.97628125
"know","neg","low_prob",0.46375,0.21753125,0.21625,0.79875,0.22503125,0.16003125,0.24621875,0.68,0.57371875,0.95878125
"know","pos","high_prob",0.78125,0.19003125,0.13628125,0.93375,0.05753125,0.04125,0.59121875,0.91753125,0.87621875,0.975
"know","pos","low_prob",0.5025,0.2375625,0.23525,0.6675,0.19253125,0.17253125,0.2649375,0.73775,0.47496875,0.84003125
"MC","pos","neutral",0.931458333333333,0.0479166666666666,0.0308385416666667,NA,NA,NA,0.883541666666667,0.962296875,NA,NA
"Polar","neg","high_prob",0.93625,0.0575,0.0462499999999999,NA,NA,NA,0.87875,0.9825,NA,NA
"Polar","neg","low_prob",0.835,0.21003125,0.135,NA,NA,NA,0.62496875,0.97,NA,NA
"Polar","pos","high_prob",0.885,0.09759375,0.0775312499999999,NA,NA,NA,0.78740625,0.96253125,NA,NA
"Polar","pos","low_prob",0.68875,0.2663125,0.23509375,NA,NA,NA,0.4224375,0.92384375,NA,NA
"say","neg","high_prob",0.87875,0.0725,0.07253125,0.90625,0.0912499999999999,0.06625,0.80625,0.95128125,0.815,0.9725
"say","neg","low_prob",0.485,0.1675625,0.18253125,0.82375,0.14125,0.11,0.3174375,0.66753125,0.6825,0.93375
"say","pos","high_prob",0.66875,0.177625,0.14640625,0.7975,0.16125,0.10628125,0.491125,0.81515625,0.63625,0.90378125
"say","pos","low_prob",0.5425,0.2625625,0.2275,0.7975,0.21759375,0.16625,0.2799375,0.77,0.57990625,0.96375
"think","neg","high_prob",0.6,0.19378125,0.1713125,0.81875,0.147625,0.11878125,0.40621875,0.7713125,0.671125,0.93753125
"think","neg","low_prob",0.43875,0.18,0.1738125,0.865,0.19378125,0.1175,0.25875,0.6125625,0.67121875,0.9825
"think","pos","high_prob",0.61375,0.19628125,0.1725625,0.915,0.0562812500000001,0.0512812499999999,0.41746875,0.7863125,0.85871875,0.96628125
"think","pos","low_prob",0.32375,0.1113125,0.11128125,0.65125,0.171375,0.16875,0.2124375,0.43503125,0.479875,0.82
