"predicate","utterance_type","mean_speaker_rating","speaker_ci_low","speaker_ci_high","mean_ah_rating","ah_ci_low","ah_ci_high","speaker_YMin","speaker_YMax","ah_YMin","ah_YMax"
"inform","neg",0.73875,0.13375,0.1125625,0.92125,0.053765625,0.036875,0.605,0.8513125,0.867484375,0.958125
"inform","pos",0.645625,0.157546875,0.14875,0.810625,0.141890625,0.11190625,0.488078125,0.794375,0.668734375,0.92253125
"know","neg",0.630625,0.169375,0.16128125,0.86375,0.130125,0.09,0.46125,0.79190625,0.733625,0.95375
"know","pos",0.641875,0.18259375,0.155,0.800625,0.13128125,0.1025,0.45928125,0.796875,0.66934375,0.903125
"MC","pos",0.931458333333333,0.0447968750000001,0.0314635416666667,NA,NA,NA,0.886661458333333,0.962921875,NA,NA
"Polar","neg",0.885625,0.105,0.076265625,NA,NA,NA,0.780625,0.961890625,NA,NA
"Polar","pos",0.786875,0.158234375,0.129375,NA,NA,NA,0.628640625,0.91625,NA,NA
"say","neg",0.681875,0.135,0.133140625,0.865,0.07815625,0.072515625,0.546875,0.815015625,0.78684375,0.937515625
"say","pos",0.605625,0.141921875,0.132515625,0.7975,0.13625,0.11128125,0.463703125,0.738140625,0.66125,0.90878125
"think","neg",0.519375,0.133890625,0.144390625,0.841875,0.118125,0.09690625,0.385484375,0.663765625,0.72375,0.93878125
"think","pos",0.46875,0.131296875,0.13190625,0.783125,0.11875,0.098765625,0.337453125,0.60065625,0.664375,0.881890625
