workerid,proliferate.condition,ah_response,item,object,predicate,prior_condition,prior_fact,prior_rating,question_order,response,rt,slide_number_in_experiment,speaker_response,text,trigger,trigger_class,error
211,condition1,,,Jennifer,,,,,,Jennifer,0,1,,bot_check,,,
211,condition1,,muffins,,NA,NA,Muffins are sold at the bakery,0,ah_first,,15515,4,0.67,,MC,Filler,
211,condition1,0.04,jackson,,inform,high_prob,Jackson is obese,0.813986013986014,ah_first,,24409,5,0.06,,inform_neg,Control,
211,condition1,0.12,danny,,say,low_prob,Danny is a diabetic,0.27993006993007,ah_first,,20796,6,0.28,,say_pos,Control,
211,condition1,,emily,,NA,high_prob,Emily has been saving for a year,0.561555555555556,ah_first,,10360,7,0.47,,Polar,Critical,
211,condition1,0.44,julian,,think,low_prob,Julian is Cuban,0.400506329113924,ah_first,,30422,8,0.75,,think_neg,Critical,
211,condition1,,garage,,NA,NA,Garages are used to store cars and other things,0,ah_first,,10109,9,0.48,,MC,Filler,
211,condition1,,josh,,NA,low_prob,Josh is a 75-year old man,0.236917293233083,ah_first,,9308,10,0.11,,Polar,Critical,
211,condition1,0.12,frank,,say,low_prob,Frank has always wanted a pet,0.32027972027971996,ah_first,,12630,11,0.44,,say_neg,Control,
211,condition1,0.89,zoe,,inform,high_prob,Zoe is a math major,0.745971223021583,ah_first,,14923,12,0.93,,inform_pos,Control,
211,condition1,,kids,,NA,NA,Many children like ice cream,0,ah_first,,8786,13,0.15,,MC,Filler,
211,condition1,0.02,josie,,know,low_prob,Josie doesn't have a passport,0.117286821705426,ah_first,,12289,14,0.19,,know_pos,Critical,
211,condition1,0.01,jayden,,inform,low_prob,Jayden doesn't have a driver's license,0.1756,ah_first,,12517,15,0.27,,inform_pos,Control,
211,condition1,0.18,emma,,inform,low_prob,Emma is in law school,0.31923611111111105,ah_first,,10098,16,0.21,,inform_neg,Control,
211,condition1,,pizza,,NA,NA,Pizza is sold at the pizzeria,0,ah_first,,8290,17,0.54,,MC,Filler,
211,condition1,0.06,grace,,think,low_prob,Grace hates her sister,0.24777027027027,ah_first,,10931,18,0.05,,think_pos,Critical,
211,condition1,,hat,,NA,NA,Hats are worn on the head,0,ah_first,,6639,19,0.43,,MC,Filler,
211,condition1,0.02,jon,,think,high_prob,Jon lives 10 miles away from work,0.764303797468354,ah_first,,9906,20,0.04,,think_neg,Critical,
211,condition1,0.69,charley,,think,high_prob,Charley lives in Mexico,0.804632352941177,ah_first,,9112,21,0.41,,think_pos,Critical,
211,condition1,0.5,olivia,,know,low_prob,Olivia works the third shift,0.335223880597015,ah_first,,8973,22,0.49,,know_neg,Critical,
211,condition1,0.36,owen,,know,high_prob,Owen lives in Chicago,0.74648275862069,ah_first,,10666,23,0.9,,know_pos,Critical,
211,condition1,0.68,tony,,say,high_prob,Tony really likes to party with his friends,0.747279411764706,ah_first,,10050,24,0.47,,say_pos,Control,
211,condition1,,ballet,,NA,NA,Ballet is a type of dance,0,ah_first,,5324,25,0.1,,MC,Filler,
211,condition1,0.88,isabella,,say,high_prob,Isabella is a vegetarian,0.874186046511628,ah_first,,10941,26,0.32,,say_neg,Control,
211,condition1,0.95,mary,,know,high_prob,Mary is a middle school student,0.774598540145985,ah_first,,13814,27,0.62,,know_neg,Critical,
213,condition1,,,Margaret,,,,,,Margaret,0,1,,bot_check,,,
213,condition1,,pizza,,NA,NA,Pizza is sold at the pizzeria,0,speaker_first,,17659,4,0.04,,MC,Filler,
213,condition1,0.97,grace,,say,low_prob,Grace loves her sister,0.209855072463768,speaker_first,,63756,5,0.97,,say_neg,Control,
213,condition1,0.95,zoe,,know,high_prob,Zoe is 5 years old,0.807891156462585,speaker_first,,40694,6,0.02,,know_neg,Critical,
213,condition1,0.96,josh,,know,high_prob,Josh is a 5-year old boy,0.544575163398693,speaker_first,,63049,7,0.99,,know_pos,Critical,
213,condition1,,isabella,,NA,high_prob,Isabella is from Argentina,0.517707006369427,speaker_first,,11604,8,1,,Polar,Critical,
213,condition1,0.97,olivia,,think,low_prob,Olivia works the third shift,0.335223880597015,speaker_first,,202088,9,0.05,,think_neg,Critical,
