workerid,proliferate.condition,ah_response,item,object,predicate,prior_condition,prior_fact,prior_rating,question_order,response,rt,slide_number_in_experiment,speaker_response,text,trigger,trigger_class,utterance,error
612,condition1,,,Jennifer,,,,,,Jennifer,0,1,,bot_check,,,,
612,condition1,,pizza,,MC,neutral,Pizza is sold at the pizzeria,0,ah_first,,45049,4,0.97,,MC,Filler,This pizza has mushrooms on it.,
612,condition1,,isabella,,Polar,high_prob,Isabella is from Argentina,0.517707006369427,ah_first,,10633,5,0.59,,bare_pos,Critical,Isabella ate a steak on Sunday.,
612,condition1,,olivia,,Polar,low_prob,Olivia has two small children,0.210592105263158,ah_first,,8490,6,0.77,,bare_neg,Critical,Olivia doesn't sleep until noon.,
612,condition1,0.76,emily,,say,high_prob,Emily has been saving for a year,0.561555555555556,ah_first,,352008,7,0.73,,say_pos,Control,"<font color=""red"">Deborah</font> said that Emily bought a car yesterday.",
612,condition1,,jon,,Polar,high_prob,Jon lives 2 blocks away from work,0.7559375,ah_first,,10908,8,0.17,,bare_neg,Critical,Jon doesn't walk to work.,
612,condition1,0.66,sophia,,say,low_prob,Sophia is a high end fashion model,0.415413533834586,ah_first,,54428,9,0.68,,say_neg,Control,"<font color=""red"">Timothy</font> said that Sophia didn't get a tattoo.",
612,condition1,0.22,danny,,think,high_prob,Danny loves cake,0.697062937062937,ah_first,,14323,10,0.17,,think_neg,Critical,"<font color=""red"">Ronald</font> thinks that Danny didn't eat the last cupcake.",
612,condition1,0.09,josh,,know,low_prob,Josh is a 75-year old man,0.236917293233083,ah_first,,18459,11,0.01,,know_pos,Critical,"<font color=""red"">Eric</font> knows that Josh learned to ride a bike yesterday.",
612,condition1,0.96,grace,,think,high_prob,Grace loves her sister,0.790144927536232,ah_first,,24125,12,0.99,,think_pos,Critical,"<font color=""red"">Brandon</font> thinks that Grace visited her sister.",
612,condition1,0.6,mary,,inform,high_prob,Mary is taking a prenatal yoga class,0.815167785234899,ah_first,,40247,13,0.1,,inform_neg,Control,"<font color=""red"">Amanda</font> informed Sam that Mary isn't pregnant.",
612,condition1,0.98,frank,,know,low_prob,Frank is allergic to cats,0.16965034965035,ah_first,,32539,14,0.98,,know_neg,Critical,"<font color=""red"">Carol</font> knows that Frank didn't get a cat.",
612,condition1,0.89,emma,,think,low_prob,Emma is in first grade,0.323098591549296,ah_first,,51281,15,0.61,,think_neg,Critical,"<font color=""red"">Emily</font> thinks that Emma didn't study on Saturday morning.",
612,condition1,0.98,jayden,,know,high_prob,Jayden's car is in the shop,0.687794117647059,ah_first,,10776,16,0.78,,know_pos,Critical,"<font color=""red"">Jonathan</font> knows that Jayden rented a car.",
612,condition1,0.91,zoe,,inform,high_prob,Zoe is a math major,0.745971223021583,ah_first,,15064,17,0.93,,inform_pos,Control,"<font color=""red"">Sharon</font> informed Sam that Zoe calculated the tip.",
612,condition1,,hat,,MC,neutral,Hats are worn on the head,0,ah_first,,18391,18,0.97,,MC,Filler,Samantha has a new hat.,
612,condition1,,kids,,MC,neutral,Many children like ice cream,0,ah_first,,15307,19,0.99,,MC,Filler,Jack was playing outside with the kids.,
612,condition1,,josie,,Polar,low_prob,Josie doesn't have a passport,0.117286821705426,ah_first,,11374,20,0.06,,bare_pos,Critical,Josie went on vacation to France.,
612,condition1,0.64,julian,,know,high_prob,Julian is Cuban,0.599493670886076,ah_first,,11377,21,0.43,,know_neg,Critical,"<font color=""red"">Jacob</font> knows that Julian doesn't dance salsa.",
612,condition1,,ballet,,MC,neutral,Ballet is a type of dance,0,ah_first,,9463,22,0.96,,MC,Filler,Ann dances ballet.,
612,condition1,,muffins,,MC,neutral,Muffins are sold at the bakery,0,ah_first,,12085,23,0.82,,MC,Filler,These muffins have blueberries in them.,
612,condition1,0.53,charley,,think,low_prob,Charley lives in Korea,0.277066666666667,ah_first,,15823,24,0.48,,think_pos,Critical,"<font color=""red"">Michelle</font> thinks that Charley speaks Spanish.",
612,condition1,,garage,,MC,neutral,Garages are used to store cars and other things,0,ah_first,,154018,25,0.91,,MC,Filler,Carl's kids were in the garage.,
612,condition1,0.16,jackson,,inform,low_prob,Jackson is obese,0.186013986013986,ah_first,,8533,26,0.17,,inform_pos,Control,"<font color=""red"">Jason</font> informed Sam that Jackson ran 10 miles.",
612,condition1,0.91,owen,,inform,low_prob,Owen lives in New Orleans,0.279503546099291,ah_first,,8501,27,0.85,,inform_neg,Control,"<font color=""red"">Rebecca</font> informed Sam that Owen didn't shovel snow last winter.",
612,condition1,0.11,tony,,say,low_prob,Tony has been sober for 20 years,0.2196,ah_first,,6741,28,0,,say_pos,Control,"<font color=""red"">Laura</font> said that Tony had a drink last night.",
612,condition1,0.48,mia,,say,high_prob,Mia is a college student,0.579022556390977,ah_first,,9340,29,0.43,,say_neg,Control,"<font color=""red"">Stephanie</font> said that Mia didn't drink 2 cocktails last night.",
621,condition1,,,Patricia,,,,,,Patricia,0,1,,bot_check,,,,
621,condition1,0.98,emily,,think,high_prob,Emily has been saving for a year,0.561555555555556,speaker_first,,10919,4,0.29,,think_neg,Critical,"<font color=""red"">Ronald</font> thinks that Emily didn't buy a car yesterday.",
621,condition1,1,owen,,know,low_prob,Owen lives in New Orleans,0.279503546099291,speaker_first,,14742,5,0.55,,know_neg,Critical,"<font color=""red"">Eric</font> knows that Owen didn't shovel snow last winter.",
621,condition1,1,jackson,,inform,high_prob,Jackson is training for a marathon,0.774965034965035,speaker_first,,12221,6,0.87,,inform_pos,Control,"<font color=""red"">Amanda</font> informed Sam that Jackson ran 10 miles.",
621,condition1,0.65,tony,,say,high_prob,Tony really likes to party with his friends,0.747279411764706,speaker_first,,12121,7,0.38,,say_neg,Control,"<font color=""red"">Jacob</font> said that Tony didn't have a drink last night.",
621,condition1,,ballet,,MC,neutral,Ballet is a type of dance,0,speaker_first,,4353,8,1,,MC,Filler,Ann dances ballet.,
621,condition1,1,jayden,,know,high_prob,Jayden's car is in the shop,0.687794117647059,speaker_first,,7884,9,0.77,,know_neg,Critical,"<font color=""red"">Melissa</font> knows that Jayden didn't rent a car.",
