content,prior_type,state,n,prop
Charley speaks Spanish,factH,1,1,0.002380952380952381
Charley speaks Spanish,factH,3,3,0.007142857142857143
Charley speaks Spanish,factH,4,4,0.009523809523809525
Charley speaks Spanish,factH,5,10,0.023809523809523808
Charley speaks Spanish,factH,6,12,0.02857142857142857
Charley speaks Spanish,factH,7,26,0.06190476190476191
Charley speaks Spanish,factH,8,65,0.15476190476190477
Charley speaks Spanish,factH,9,103,0.24523809523809523
Charley speaks Spanish,factH,10,196,0.4666666666666667
Charley speaks Spanish,factL,1,86,0.19282511210762332
Charley speaks Spanish,factL,2,101,0.226457399103139
Charley speaks Spanish,factL,3,82,0.18385650224215247
Charley speaks Spanish,factL,4,78,0.17488789237668162
Charley speaks Spanish,factL,5,46,0.1031390134529148
Charley speaks Spanish,factL,6,31,0.06950672645739911
Charley speaks Spanish,factL,7,5,0.011210762331838564
Charley speaks Spanish,factL,8,10,0.02242152466367713
Charley speaks Spanish,factL,9,5,0.011210762331838564
Charley speaks Spanish,factL,10,2,0.004484304932735426
Danny ate the last cupcake,factH,1,1,0.002347417840375587
Danny ate the last cupcake,factH,2,4,0.009389671361502348
Danny ate the last cupcake,factH,3,1,0.002347417840375587
Danny ate the last cupcake,factH,4,6,0.014084507042253521
Danny ate the last cupcake,factH,5,32,0.07511737089201878
Danny ate the last cupcake,factH,6,90,0.2112676056338028
Danny ate the last cupcake,factH,7,82,0.19248826291079812
Danny ate the last cupcake,factH,8,97,0.22769953051643194
Danny ate the last cupcake,factH,9,66,0.15492957746478872
Danny ate the last cupcake,factH,10,47,0.11032863849765258
Danny ate the last cupcake,factL,1,108,0.24545454545454545
Danny ate the last cupcake,factL,2,109,0.24772727272727274
Danny ate the last cupcake,factL,3,81,0.18409090909090908
Danny ate the last cupcake,factL,4,56,0.12727272727272726
Danny ate the last cupcake,factL,5,30,0.06818181818181818
Danny ate the last cupcake,factL,6,28,0.06363636363636363
Danny ate the last cupcake,factL,7,11,0.025
Danny ate the last cupcake,factL,8,6,0.013636363636363636
Danny ate the last cupcake,factL,9,7,0.015909090909090907
Danny ate the last cupcake,factL,10,4,0.00909090909090909
Emily bought a car yesterday,factH,1,21,0.04883720930232558
Emily bought a car yesterday,factH,2,13,0.030232558139534883
Emily bought a car yesterday,factH,3,33,0.07674418604651163
Emily bought a car yesterday,factH,4,34,0.07906976744186046
Emily bought a car yesterday,factH,5,82,0.19069767441860466
Emily bought a car yesterday,factH,6,109,0.2534883720930233
Emily bought a car yesterday,factH,7,57,0.1325581395348837
Emily bought a car yesterday,factH,8,37,0.08604651162790698
Emily bought a car yesterday,factH,9,19,0.044186046511627906
Emily bought a car yesterday,factH,10,25,0.05813953488372093
Emily bought a car yesterday,factL,1,265,0.6077981651376146
Emily bought a car yesterday,factL,2,78,0.17889908256880735
Emily bought a car yesterday,factL,3,44,0.10091743119266056
Emily bought a car yesterday,factL,4,17,0.0389908256880734
Emily bought a car yesterday,factL,5,8,0.01834862385321101
