condition,prior_condition,predicate,utterance_type,speaker_belief,ah_belief
empirical,high_prob,simple,pos,0.624376812,
empirical,high_prob,think,pos,0.481971,0.630985507246377
empirical,high_prob,think,neg,0.5205217,0.634492753623188
empirical,high_prob,know,pos,0.8903478,0.489507246376812
empirical,high_prob,know,neg,0.858087,0.528811594202899
model,high_prob,simple,pos,0.683841,
model,high_prob,think,pos,0.6499,0.7452
model,high_prob,think,neg,0.582,0.7557
model,high_prob,know,pos,0.9338,0.7021
model,high_prob,know,neg,0.9127,0.6442
empirical,low_prob,simple,pos,0.3600870,
empirical,low_prob,think,pos,0.2308406,0.470608695652174
empirical,low_prob,think,neg,0.3513623,0.551565217391304
empirical,low_prob,know,pos,0.7694493,0.34295652173913
empirical,low_prob,know,neg,0.8245507,0.402782608695652
model,low_prob,simple,pos,0.2105,
model,low_prob,think,pos,0.1094,0.1696
model,low_prob,think,neg,0.168,0.3072
model,low_prob,know,pos,0.6508,0.2328
model,low_prob,know,neg,0.5691,0.1852
