prior_type,content,item,state,prop
factH,Charley,Charley_H,dances,0.804632353
factH,Danny,Danny_H,dances,0.697062937
factH,Emily,Emily_H,dances,0.561555556
factH,Emma,Emma_H,dances,0.680763889
factH,Frank,Frank_H,dances,0.67972028
factH,Grace,Grace_H,dances,0.790144928
factH,Isabella,Isabella_H,dances,0.517707006
factH,Jackson,Jackson_H,dances,0.774965035
factH,Jayden,Jayden_H,dances,0.687794118
factH,Jon,Jon_H,dances,0.7559375
factH,Josh,Josh_H,dances,0.544575163
factH,Josie,Josie_H,dances,0.73343949
factH,Julian,Julian_H,dances,0.599493671
factH,Mary,Mary_H,dances,0.815167785
factH,Mia,Mia_H,dances,0.579022556
factH,Olivia,Olivia_H,dances,0.664776119
factH,Owen,Owen_H,dances,0.746482759
factH,Sophia,Sophia_H,dances,0.634248366
factH,Tony,Tony_H,dances,0.747279412
factH,Zoe,Zoe_H,dances,0.745971223
factL,Charley,Charley_L,dances,0.277066667
factL,Danny,Danny_L,dances,0.27993007
factL,Emily,Emily_L,dances,0.151655629
factL,Emma,Emma_L,dances,0.323098592
factL,Frank,Frank_L,dances,0.16965035
factL,Grace,Grace_L,dances,0.24777027
factL,Isabella,Isabella_L,dances,0.125813953
factL,Jackson,Jackson_L,dances,0.186013986
factL,Jayden,Jayden_L,dances,0.1756
factL,Jon,Jon_L,dances,0.235696203
factL,Josh,Josh_L,dances,0.236917293
factL,Josie,Josie_L,dances,0.117286822
factL,Julian,Julian_L,dances,0.401796875
factL,Mary,Mary_L,dances,0.22540146
factL,Mia,Mia_L,dances,0.224901961
factL,Olivia,Olivia_L,dances,0.210592105
factL,Owen,Owen_L,dances,0.279503546
factL,Sophia,Sophia_L,dances,0.415413534
factL,Tony,Tony_L,dances,0.2196
factL,Zoe,Zoe_L,dances,0.192108844
factH,Charley,Charley_H,doesnt_dance,0.195367647
factH,Danny,Danny_H,doesnt_dance,0.302937063
factH,Emily,Emily_H,doesnt_dance,0.438444444
factH,Emma,Emma_H,doesnt_dance,0.319236111
factH,Frank,Frank_H,doesnt_dance,0.32027972
factH,Grace,Grace_H,doesnt_dance,0.209855072
factH,Isabella,Isabella_H,doesnt_dance,0.482292994
factH,Jackson,Jackson_H,doesnt_dance,0.225034965
factH,Jayden,Jayden_H,doesnt_dance,0.312205882
factH,Jon,Jon_H,doesnt_dance,0.2440625
factH,Josh,Josh_H,doesnt_dance,0.455424837
factH,Josie,Josie_H,doesnt_dance,0.26656051
factH,Julian,Julian_H,doesnt_dance,0.400506329
factH,Mary,Mary_H,doesnt_dance,0.184832215
factH,Mia,Mia_H,doesnt_dance,0.420977444
factH,Olivia,Olivia_H,doesnt_dance,0.335223881
factH,Owen,Owen_H,doesnt_dance,0.253517241
factH,Sophia,Sophia_H,doesnt_dance,0.365751634
factH,Tony,Tony_H,doesnt_dance,0.252720588
factH,Zoe,Zoe_H,doesnt_dance,0.254028777
factL,Charley,Charley_L,doesnt_dance,0.722933333
factL,Danny,Danny_L,doesnt_dance,0.72006993
factL,Emily,Emily_L,doesnt_dance,0.848344371
factL,Emma,Emma_L,doesnt_dance,0.676901408
factL,Frank,Frank_L,doesnt_dance,0.83034965
factL,Grace,Grace_L,doesnt_dance,0.75222973
factL,Isabella,Isabella_L,doesnt_dance,0.874186047
factL,Jackson,Jackson_L,doesnt_dance,0.813986014
factL,Jayden,Jayden_L,doesnt_dance,0.8244
factL,Jon,Jon_L,doesnt_dance,0.764303797
factL,Josh,Josh_L,doesnt_dance,0.763082707
factL,Josie,Josie_L,doesnt_dance,0.882713178
factL,Julian,Julian_L,doesnt_dance,0.598203125
factL,Mary,Mary_L,doesnt_dance,0.77459854
factL,Mia,Mia_L,doesnt_dance,0.775098039
factL,Olivia,Olivia_L,doesnt_dance,0.789407895
factL,Owen,Owen_L,doesnt_dance,0.720496454
factL,Sophia,Sophia_L,doesnt_dance,0.584586466
factL,Tony,Tony_L,doesnt_dance,0.7804
factL,Zoe,Zoe_L,doesnt_dance,0.807891156
