"utterance","item","ah_belief","prob"
"BARE-dances-?","Charley_H","dances",0.00387928817191538
"BARE-dances-?","Charley_H","doesnt_dance",0.000356842853519869
"BARE-dances-?","Charley_H","null",0.994492658522396
"BARE-dances-?","Charley_H","uncertain",0.00127121045216879
"BARE-dances-?","Charley_L","dances",0.000446107114193849
"BARE-dances-?","Charley_L","doesnt_dance",0.00872172680333159
"BARE-dances-?","Charley_L","null",0.975044658067035
"BARE-dances-?","Charley_L","uncertain",0.0157875080154402
"BARE-dances-?","Danny_H","dances",0.00539801212490121
"BARE-dances-?","Danny_H","doesnt_dance",0.000515018275970621
"BARE-dances-?","Danny_H","null",0.985813689978891
"BARE-dances-?","Danny_H","uncertain",0.00827327962023678
"BARE-dances-?","Danny_L","dances",0.000484437850322482
"BARE-dances-?","Danny_L","doesnt_dance",0.00856933248320292
"BARE-dances-?","Danny_L","null",0.978257726182428
"BARE-dances-?","Danny_L","uncertain",0.012688503484047
"BARE-dances-?","Emily_H","dances",0.00367678745440801
"BARE-dances-?","Emily_H","doesnt_dance",0.00398295884720016
"BARE-dances-?","Emily_H","null",0.974223133429896
"BARE-dances-?","Emily_H","uncertain",0.0181171202684956
"BARE-dances-?","Emily_L","dances",0.000104749607255099
"BARE-dances-?","Emily_L","doesnt_dance",0.00588307056916694
"BARE-dances-?","Emily_L","null",0.987833111694127
"BARE-dances-?","Emily_L","uncertain",0.00617906812944987
"BARE-dances-?","Emma_H","dances",0.00497500578236912
"BARE-dances-?","Emma_H","doesnt_dance",0.000847650139226944
"BARE-dances-?","Emma_H","null",0.988414698606793
"BARE-dances-?","Emma_H","uncertain",0.00576264547161019
"BARE-dances-?","Emma_L","dances",0.000931275862457005
"BARE-dances-?","Emma_L","doesnt_dance",0.00899128483097899
"BARE-dances-?","Emma_L","null",0.976924103263699
"BARE-dances-?","Emma_L","uncertain",0.0131533360428661
"BARE-dances-?","Frank_H","dances",0.00537949610054643
"BARE-dances-?","Frank_H","doesnt_dance",0.000860833416224387
"BARE-dances-?","Frank_H","null",0.982777301130949
"BARE-dances-?","Frank_H","uncertain",0.0109823693522802
"BARE-dances-?","Frank_L","dances",0.000128473192121129
"BARE-dances-?","Frank_L","doesnt_dance",0.00600898779980959
"BARE-dances-?","Frank_L","null",0.990103065368483
"BARE-dances-?","Frank_L","uncertain",0.00375947363958729
"BARE-dances-?","Grace_H","dances",0.00422416949717462
"BARE-dances-?","Grace_H","doesnt_dance",0.000410100840449665
"BARE-dances-?","Grace_H","null",0.993165472286858
"BARE-dances-?","Grace_H","uncertain",0.00220025737551745
"BARE-dances-?","Grace_L","dances",0.000485291595972405
"BARE-dances-?","Grace_L","doesnt_dance",0.00835570295435271
"BARE-dances-?","Grace_L","null",0.982542664214328
"BARE-dances-?","Grace_L","uncertain",0.00861634123534618
"BARE-dances-?","Isabella_H","dances",0.00274418500073491
"BARE-dances-?","Isabella_H","doesnt_dance",0.00305305366253033
"BARE-dances-?","Isabella_H","null",0.96823341298163
"BARE-dances-?","Isabella_H","uncertain",0.0259693483551048
"BARE-dances-?","Isabella_L","dances",0.000111641705578228
"BARE-dances-?","Isabella_L","doesnt_dance",0.00577890669793158
"BARE-dances-?","Isabella_L","null",0.989667972120968
"BARE-dances-?","Isabella_L","uncertain",0.00444147947552236
"BARE-dances-?","Jackson_H","dances",0.00411447252593453
"BARE-dances-?","Jackson_H","doesnt_dance",0.000682522420863227
"BARE-dances-?","Jackson_H","null",0.993090013459566
"BARE-dances-?","Jackson_H","uncertain",0.00211299159363571
"BARE-dances-?","Jackson_L","dances",0.000145321239047253
"BARE-dances-?","Jackson_L","doesnt_dance",0.00627568477018538
"BARE-dances-?","Jackson_L","null",0.9878825938454
"BARE-dances-?","Jackson_L","uncertain",0.00569640014536803
"BARE-dances-?","Jayden_H","dances",0.00500463518427179
"BARE-dances-?","Jayden_H","doesnt_dance",0.00147362378719373
"BARE-dances-?","Jayden_H","null",0.985699311787802
"BARE-dances-?","Jayden_H","uncertain",0.00782242924073173
"BARE-dances-?","Jayden_L","dances",0.000299243234915304
"BARE-dances-?","Jayden_L","doesnt_dance",0.00751768013116396
"BARE-dances-?","Jayden_L","null",0.986145391542627
"BARE-dances-?","Jayden_L","uncertain",0.00603768509129322
"BARE-dances-?","Jon_H","dances",0.00418215724239846
"BARE-dances-?","Jon_H","doesnt_dance",0.000713245491109181
"BARE-dances-?","Jon_H","null",0.992769445755727
"BARE-dances-?","Jon_H","uncertain",0.00233515151076584
"BARE-dances-?","Jon_L","dances",0.000309038863230899
"BARE-dances-?","Jon_L","doesnt_dance",0.00758046807165199
"BARE-dances-?","Jon_L","null",0.985534002559463
"BARE-dances-?","Jon_L","uncertain",0.00657649050565446
"BARE-dances-?","Josh_H","dances",0.00400876506007942
"BARE-dances-?","Josh_H","doesnt_dance",0.00373396641940729
"BARE-dances-?","Josh_H","null",0.976326962489233
"BARE-dances-?","Josh_H","uncertain",0.0159303060312804
"BARE-dances-?","Josh_L","dances",0.000383788655408487
"BARE-dances-?","Josh_L","doesnt_dance",0.00819851575053702
"BARE-dances-?","Josh_L","null",0.980325826092717
"BARE-dances-?","Josh_L","uncertain",0.0110918695013373
"BARE-dances-?","Josie_H","dances",0.00492777802675993
"BARE-dances-?","Josie_H","doesnt_dance",0.000610646456484193
"BARE-dances-?","Josie_H","null",0.989415799675933
"BARE-dances-?","Josie_H","uncertain",0.00504577584082297
"BARE-dances-?","Josie_L","dances",0.000149243939695629
"BARE-dances-?","Josie_L","doesnt_dance",0.00640530654650196
"BARE-dances-?","Josie_L","null",0.986902915252267
"BARE-dances-?","Josie_L","uncertain",0.00654253426153587
"BARE-dances-?","Julian_H","dances",0.00488698678498003
"BARE-dances-?","Julian_H","doesnt_dance",0.00177823149786632
"BARE-dances-?","Julian_H","null",0.978507475074472
"BARE-dances-?","Julian_H","uncertain",0.0148273066426826
"BARE-dances-?","Julian_L","dances",0.000785710129278643
"BARE-dances-?","Julian_L","doesnt_dance",0.00855226003558416
"BARE-dances-?","Julian_L","null",0.96916102314262
"BARE-dances-?","Julian_L","uncertain",0.0215010066925174
"BARE-dances-?","Mary_H","dances",0.00363603444705483
"BARE-dances-?","Mary_H","doesnt_dance",0.00103597143195839
"BARE-dances-?","Mary_H","null",0.994212412509191
"BARE-dances-?","Mary_H","uncertain",0.00111558161179552
"BARE-dances-?","Mary_L","dances",0.000238488139995558
"BARE-dances-?","Mary_L","doesnt_dance",0.0071933170431732
"BARE-dances-?","Mary_L","null",0.98519089371186
"BARE-dances-?","Mary_L","uncertain",0.00737730110497195
"BARE-dances-?","Olivia_H","dances",0.00409696228909945
"BARE-dances-?","Olivia_H","doesnt_dance",0.00179167458151418
"BARE-dances-?","Olivia_H","null",0.990966008582117
"BARE-dances-?","Olivia_H","uncertain",0.0031453545472696
"BARE-dances-?","Olivia_L","dances",0.000299805166630411
"BARE-dances-?","Olivia_L","doesnt_dance",0.0075432426731311
"BARE-dances-?","Olivia_L","null",0.985107715442076
"BARE-dances-?","Olivia_L","uncertain",0.00704923671816192
"BARE-dances-?","Owen_H","dances",0.00449736141322946
"BARE-dances-?","Owen_H","doesnt_dance",0.000669424842115591
"BARE-dances-?","Owen_H","null",0.991519509021268
"BARE-dances-?","Owen_H","uncertain",0.00331370472338737
"BARE-dances-?","Owen_L","dances",0.000598050604327903
"BARE-dances-?","Owen_L","doesnt_dance",0.00864265615089095
"BARE-dances-?","Owen_L","null",0.981743105665145
"BARE-dances-?","Owen_L","uncertain",0.00901618757963684
"BARE-dances-?","Tony_H","dances",0.00480434566801527
"BARE-dances-?","Tony_H","doesnt_dance",0.000441073921779519
"BARE-dances-?","Tony_H","null",0.990540142895028
"BARE-dances-?","Tony_H","uncertain",0.00421443751517727
"BARE-dances-?","Tony_L","dances",0.000262768378225213
"BARE-dances-?","Tony_L","doesnt_dance",0.0073128125187284
"BARE-dances-?","Tony_L","null",0.985588717869509
"BARE-dances-?","Tony_L","uncertain",0.00683570123353666
"BARE-dances-?","Zoe_H","dances",0.00452282799673531
"BARE-dances-?","Zoe_H","doesnt_dance",0.00045739121938485
"BARE-dances-?","Zoe_H","null",0.991849121417163
"BARE-dances-?","Zoe_H","uncertain",0.00317065936671686
"BARE-dances-?","Zoe_L","dances",0.000193876977342859
"BARE-dances-?","Zoe_L","doesnt_dance",0.00672944942144192
"BARE-dances-?","Zoe_L","null",0.988315336706561
"BARE-dances-?","Zoe_L","uncertain",0.00476133689465325
"know-dances-?","Charley_H","dances",0.63134448939865
"know-dances-?","Charley_H","doesnt_dance",0.0459755074220408
"know-dances-?","Charley_H","null",0.00161792199021508
"know-dances-?","Charley_H","uncertain",0.321062081189094
"know-dances-?","Charley_L","dances",0.0302888351105586
"know-dances-?","Charley_L","doesnt_dance",0.613900322017945
"know-dances-?","Charley_L","null",0.00888532285304676
"know-dances-?","Charley_L","uncertain",0.34692552001845
"know-dances-?","Danny_H","dances",0.219809238365976
"know-dances-?","Danny_H","doesnt_dance",0.0287012803789135
"know-dances-?","Danny_H","null",0.00100479689827261
"know-dances-?","Danny_H","uncertain",0.750484684356837
"know-dances-?","Danny_L","dances",0.0356609345751066
"know-dances-?","Danny_L","doesnt_dance",0.678897148753228
"know-dances-?","Danny_L","null",0.0079648131455843
"know-dances-?","Danny_L","uncertain",0.277477103526081
"know-dances-?","Emily_H","dances",0.085913575477195
"know-dances-?","Emily_H","doesnt_dance",0.152210934555917
"know-dances-?","Emily_H","null",0.00146132908094746
"know-dances-?","Emily_H","uncertain",0.76041416088594
"know-dances-?","Emily_L","dances",0.0220629798679882
"know-dances-?","Emily_L","doesnt_dance",0.865865960859624
"know-dances-?","Emily_L","null",0.0154371653825042
"know-dances-?","Emily_L","uncertain",0.0966338938898842
"know-dances-?","Emma_H","dances",0.283167952419788
"know-dances-?","Emma_H","doesnt_dance",0.0577863161750218
"know-dances-?","Emma_H","null",0.00110691848019387
"know-dances-?","Emma_H","uncertain",0.657938812924997
"know-dances-?","Emma_L","dances",0.0496519732559641
"know-dances-?","Emma_L","doesnt_dance",0.599555191826888
"know-dances-?","Emma_L","null",0.00493076283047
"know-dances-?","Emma_L","uncertain",0.345862072086678
"know-dances-?","Frank_H","dances",0.16932663971673
"know-dances-?","Frank_H","doesnt_dance",0.0407857600978275
"know-dances-?","Frank_H","null",0.000995046175661065
"know-dances-?","Frank_H","uncertain",0.788892554009782
"know-dances-?","Frank_L","dances",0.0306048080261339
"know-dances-?","Frank_L","doesnt_dance",0.894834354838793
"know-dances-?","Frank_L","null",0.011483544035923
"know-dances-?","Frank_L","uncertain",0.0630772930991501
"know-dances-?","Grace_H","dances",0.507985232059394
"know-dances-?","Grace_H","doesnt_dance",0.0439097442771534
"know-dances-?","Grace_H","null",0.00141683698337654
"know-dances-?","Grace_H","uncertain",0.446688186680076
"know-dances-?","Grace_L","dances",0.0432480820067615
"know-dances-?","Grace_L","doesnt_dance",0.758554631291372
"know-dances-?","Grace_L","null",0.00691212673959166
"know-dances-?","Grace_L","uncertain",0.191285159962274
"know-dances-?","Isabella_H","dances",0.0532397732788752
"know-dances-?","Isabella_H","doesnt_dance",0.0887344734061953
"know-dances-?","Isabella_H","null",0.00180119626960617
"know-dances-?","Isabella_H","uncertain",0.856224557045324
"know-dances-?","Isabella_L","dances",0.026620516752155
"know-dances-?","Isabella_L","doesnt_dance",0.888956753362563
"know-dances-?","Isabella_L","null",0.0132001629331733
"know-dances-?","Isabella_L","uncertain",0.0712225669521092
"know-dances-?","Jackson_H","dances",0.502720646762029
"know-dances-?","Jackson_H","doesnt_dance",0.0733171465025204
"know-dances-?","Jackson_H","null",0.00143752338539474
"know-dances-?","Jackson_H","uncertain",0.422524683350056
"know-dances-?","Jackson_L","dances",0.0274727596427006
"know-dances-?","Jackson_L","doesnt_dance",0.864706520361952
"know-dances-?","Jackson_L","null",0.0125711966783768
"know-dances-?","Jackson_L","uncertain",0.09524952331697
"know-dances-?","Jayden_H","dances",0.217904573011273
"know-dances-?","Jayden_H","doesnt_dance",0.0854143055507611
"know-dances-?","Jayden_H","null",0.00107910388755325
"know-dances-?","Jayden_H","uncertain",0.695602017550412
"know-dances-?","Jayden_L","dances",0.039149901470673
"know-dances-?","Jayden_L","doesnt_dance",0.832178473852045
"know-dances-?","Jayden_L","null",0.00830485243521377
"know-dances-?","Jayden_L","uncertain",0.120366772242069
"know-dances-?","Jon_H","dances",0.479533347957368
"know-dances-?","Jon_H","doesnt_dance",0.073725189192597
"know-dances-?","Jon_H","null",0.00140183243372022
"know-dances-?","Jon_H","uncertain",0.445339630416314
"know-dances-?","Jon_L","dances",0.0383944506143478
"know-dances-?","Jon_L","doesnt_dance",0.822037374421458
"know-dances-?","Jon_L","null",0.00841758180233966
"know-dances-?","Jon_L","uncertain",0.131150593161854
"know-dances-?","Josh_H","dances",0.101045327210398
"know-dances-?","Josh_H","doesnt_dance",0.152450378859495
"know-dances-?","Josh_H","null",0.00134316831070762
"know-dances-?","Josh_H","uncertain",0.745161125619399
"know-dances-?","Josh_L","dances",0.0337522482926826
"know-dances-?","Josh_L","doesnt_dance",0.728697572316135
"know-dances-?","Josh_L","null",0.0089410396948878
"know-dances-?","Josh_L","uncertain",0.228609139696296
"know-dances-?","Josie_H","dances",0.314851962724178
"know-dances-?","Josie_H","doesnt_dance",0.0446743685489659
"know-dances-?","Josie_H","null",0.00113137455392838
"know-dances-?","Josie_H","uncertain",0.639342294172928
"know-dances-?","Josie_L","dances",0.0261547667965667
"know-dances-?","Josie_L","doesnt_dance",0.851283514593481
"know-dances-?","Josie_L","null",0.0130699119010607
"know-dances-?","Josie_L","uncertain",0.109491806708892
"know-dances-?","Julian_H","dances",0.121089643814144
"know-dances-?","Julian_H","doesnt_dance",0.0716996068880965
"know-dances-?","Julian_H","null",0.00108863572312727
"know-dances-?","Julian_H","uncertain",0.806122113574632
"know-dances-?","Julian_L","dances",0.0334318529634893
"know-dances-?","Julian_L","doesnt_dance",0.410892734794552
"know-dances-?","Julian_L","null",0.00591731766843085
"know-dances-?","Julian_L","uncertain",0.549758094573527
"know-dances-?","Mary_H","dances",0.601472065859252
"know-dances-?","Mary_H","doesnt_dance",0.131889159372853
"know-dances-?","Mary_H","null",0.00165105845079134
"know-dances-?","Mary_H","uncertain",0.264987716317103
"know-dances-?","Mary_L","dances",0.031827218597183
"know-dances-?","Mary_L","doesnt_dance",0.821349175205117
"know-dances-?","Mary_L","null",0.0103983565810484
"know-dances-?","Mary_L","uncertain",0.136425249616651
"know-dances-?","Olivia_H","dances",0.37573132697783
"know-dances-?","Olivia_H","doesnt_dance",0.159364848204404
"know-dances-?","Olivia_H","null",0.00134083025012803
"know-dances-?","Olivia_H","uncertain",0.463562994567638
"know-dances-?","Olivia_L","dances",0.0366560209083964
"know-dances-?","Olivia_L","doesnt_dance",0.815975802050838
"know-dances-?","Olivia_L","null",0.00882964334421235
"know-dances-?","Olivia_L","uncertain",0.138538533696553
"know-dances-?","Owen_H","dances",0.404279412275211
"know-dances-?","Owen_H","doesnt_dance",0.0599435039993927
"know-dances-?","Owen_H","null",0.00127368701258912
"know-dances-?","Owen_H","uncertain",0.534503396712807
"know-dances-?","Owen_L","dances",0.0474244263548989
"know-dances-?","Owen_L","doesnt_dance",0.733417926868714
"know-dances-?","Owen_L","null",0.00605972568003027
"know-dances-?","Owen_L","uncertain",0.213097921096356
"know-dances-?","Tony_H","dances",0.357794460736883
"know-dances-?","Tony_H","doesnt_dance",0.0354189746759911
"know-dances-?","Tony_H","null",0.00118010047472494
"know-dances-?","Tony_H","uncertain",0.605606464112402
"know-dances-?","Tony_L","dances",0.0346642539272498
"know-dances-?","Tony_L","doesnt_dance",0.825807645158474
"know-dances-?","Tony_L","null",0.00948895842006517
"know-dances-?","Tony_L","uncertain",0.13003914249421
"know-dances-?","Zoe_H","dances",0.421744898139229
"know-dances-?","Zoe_H","doesnt_dance",0.0420025464390828
"know-dances-?","Zoe_H","null",0.00128115601281244
"know-dances-?","Zoe_H","uncertain",0.534971399408876
"know-dances-?","Zoe_L","dances",0.0344335225252222
"know-dances-?","Zoe_L","doesnt_dance",0.869251875363711
"know-dances-?","Zoe_L","null",0.009904710980182
"know-dances-?","Zoe_L","uncertain",0.0864098911308851
"know-doesnt_dance-?","Charley_H","dances",0.75700578263637
"know-doesnt_dance-?","Charley_H","doesnt_dance",0.019794985809088
"know-doesnt_dance-?","Charley_H","null",0.0599618524747448
"know-doesnt_dance-?","Charley_H","uncertain",0.163237379079798
"know-doesnt_dance-?","Charley_L","dances",0.0547648195510696
"know-doesnt_dance-?","Charley_L","doesnt_dance",0.148102870079777
"know-doesnt_dance-?","Charley_L","null",0.00127097105808936
"know-doesnt_dance-?","Charley_L","uncertain",0.795861339311064
"know-doesnt_dance-?","Danny_H","dances",0.356981428456863
"know-doesnt_dance-?","Danny_H","doesnt_dance",0.0134805366621884
"know-doesnt_dance-?","Danny_H","null",0.021805495170995
"know-doesnt_dance-?","Danny_H","uncertain",0.607732539709954
"know-doesnt_dance-?","Danny_L","dances",0.0849474837045656
"know-doesnt_dance-?","Danny_L","doesnt_dance",0.183098353709819
"know-doesnt_dance-?","Danny_L","null",0.00156112207082145
"know-doesnt_dance-?","Danny_L","uncertain",0.730393040514794
"know-doesnt_dance-?","Emily_H","dances",0.143477022611199
"know-doesnt_dance-?","Emily_H","doesnt_dance",0.0272477782862972
"know-doesnt_dance-?","Emily_H","null",0.00207955100492794
"know-doesnt_dance-?","Emily_H","uncertain",0.827195648097575
"know-doesnt_dance-?","Emily_L","dances",0.0739295247222931
"know-doesnt_dance-?","Emily_L","doesnt_dance",0.41207705033014
"know-doesnt_dance-?","Emily_L","null",0.00272659122633937
"know-doesnt_dance-?","Emily_L","uncertain",0.511266833721227
"know-doesnt_dance-?","Emma_H","dances",0.454008472534127
"know-doesnt_dance-?","Emma_H","doesnt_dance",0.0199953059491332
"know-doesnt_dance-?","Emma_H","null",0.0199335548505656
"know-doesnt_dance-?","Emma_H","uncertain",0.506062666666174
"know-doesnt_dance-?","Emma_L","dances",0.122772724219487
"know-doesnt_dance-?","Emma_L","doesnt_dance",0.137281676323435
"know-doesnt_dance-?","Emma_L","null",0.00149765618042318
"know-doesnt_dance-?","Emma_L","uncertain",0.738447943276655
"know-doesnt_dance-?","Frank_H","dances",0.280529894502951
"know-doesnt_dance-?","Frank_H","doesnt_dance",0.0148149477238422
"know-doesnt_dance-?","Frank_H","null",0.0121906620807161
"know-doesnt_dance-?","Frank_H","uncertain",0.692464495692491
"know-doesnt_dance-?","Frank_L","dances",0.147695988589783
"know-doesnt_dance-?","Frank_L","doesnt_dance",0.481313472542777
"know-doesnt_dance-?","Frank_L","null",0.00333881353213175
"know-doesnt_dance-?","Frank_L","uncertain",0.367651725335308
"know-doesnt_dance-?","Grace_H","dances",0.673567220384897
"know-doesnt_dance-?","Grace_H","doesnt_dance",0.0192813718399391
"know-doesnt_dance-?","Grace_H","null",0.0487540055839531
"know-doesnt_dance-?","Grace_H","uncertain",0.258397402191211
"know-doesnt_dance-?","Grace_L","dances",0.146686903292741
"know-doesnt_dance-?","Grace_L","doesnt_dance",0.2425569031191
"know-doesnt_dance-?","Grace_L","null",0.00208985009609168
"know-doesnt_dance-?","Grace_L","uncertain",0.608666343492066
"know-doesnt_dance-?","Isabella_H","dances",0.0675262171316854
"know-doesnt_dance-?","Isabella_H","doesnt_dance",0.0179110295022885
"know-doesnt_dance-?","Isabella_H","null",0.00147527594515074
"know-doesnt_dance-?","Isabella_H","uncertain",0.913087477420875
"know-doesnt_dance-?","Isabella_L","dances",0.113939245337613
"know-doesnt_dance-?","Isabella_L","doesnt_dance",0.469258730838954
"know-doesnt_dance-?","Isabella_L","null",0.00316350010725302
"know-doesnt_dance-?","Isabella_L","uncertain",0.41363852371618
"know-doesnt_dance-?","Jackson_H","dances",0.684001993394142
"know-doesnt_dance-?","Jackson_H","doesnt_dance",0.0246181339925476
"know-doesnt_dance-?","Jackson_H","null",0.0355133445205467
"know-doesnt_dance-?","Jackson_H","uncertain",0.255866528092764
"know-doesnt_dance-?","Jackson_L","dances",0.105250451935136
"know-doesnt_dance-?","Jackson_L","doesnt_dance",0.406725274096769
"know-doesnt_dance-?","Jackson_L","null",0.00280096271968444
"know-doesnt_dance-?","Jackson_L","uncertain",0.485223311248411
"know-doesnt_dance-?","Jayden_H","dances",0.370801938899301
"know-doesnt_dance-?","Jayden_H","doesnt_dance",0.0225106691760056
"know-doesnt_dance-?","Jayden_H","null",0.010666440592733
"know-doesnt_dance-?","Jayden_H","uncertain",0.596020951331959
"know-doesnt_dance-?","Jayden_L","dances",0.162289890604331
"know-doesnt_dance-?","Jayden_L","doesnt_dance",0.335524653207208
"know-doesnt_dance-?","Jayden_L","null",0.00262051759548196
"know-doesnt_dance-?","Jayden_L","uncertain",0.499564938592979
"know-doesnt_dance-?","Jon_H","dances",0.665336333296407
"know-doesnt_dance-?","Jon_H","doesnt_dance",0.0245540737000796
"know-doesnt_dance-?","Jon_H","null",0.033441797314483
