"utterance","prob","speaker_belief","ah_belief"
"BARE-dances-?",0.00101476119495397,"dances","uncertain"
"think-doesnt_dance-?",0.0723765950692692,"dances","uncertain"
"think-dances-?",0.050704082910757,"dances","uncertain"
"know-doesnt_dance-?",0.0204708038921821,"dances","uncertain"
"know-dances-?",0.855433756932838,"dances","uncertain"
"BARE-dances-?",0.00384186334821044,"doesnt_dance","uncertain"
"think-doesnt_dance-?",0.118311467605338,"doesnt_dance","uncertain"
"think-dances-?",0.165393100242895,"doesnt_dance","uncertain"
"know-doesnt_dance-?",0.698576057077861,"doesnt_dance","uncertain"
"know-dances-?",0.0138775117256957,"doesnt_dance","uncertain"
"BARE-dances-?",0.202808781984633,"doesnt_dance","null"
"think-doesnt_dance-?",0.00540170819650886,"doesnt_dance","null"
"think-dances-?",0.0018828880250121,"doesnt_dance","null"
"know-doesnt_dance-?",0.788377822457041,"doesnt_dance","null"
"know-dances-?",0.00152879933680445,"doesnt_dance","null"
"BARE-dances-?",0.447833713693106,"dances","null"
"think-doesnt_dance-?",0.0028951637078974,"dances","null"
"think-dances-?",0.00204844150257573,"dances","null"
"know-doesnt_dance-?",0.000813184752278538,"dances","null"
"know-dances-?",0.546409496344142,"dances","null"
"BARE-dances-?",0.000606206967439019,"doesnt_dance","dances"
"think-doesnt_dance-?",0.0541880971846159,"doesnt_dance","dances"
"think-dances-?",0.212209306814646,"doesnt_dance","dances"
"know-doesnt_dance-?",0.71490220837702,"doesnt_dance","dances"
"know-dances-?",0.0180941806562792,"doesnt_dance","dances"
"BARE-dances-?",0.000747485597166788,"dances","dances"
"think-doesnt_dance-?",0.0308048907977838,"dances","dances"
"think-dances-?",0.0377726351110687,"dances","dances"
"know-doesnt_dance-?",0.00611168508491146,"dances","dances"
"know-dances-?",0.924563303409069,"dances","dances"
"think-doesnt_dance-?",0.304601330837309,"dances","doesnt_dance"
"think-dances-?",0.0246750887820636,"dances","doesnt_dance"
"know-doesnt_dance-?",0.0442617520819222,"dances","doesnt_dance"
"know-dances-?",0.626461828298705,"dances","doesnt_dance"
"BARE-dances-?",5.12788323656301e-05,"uncertain","uncertain"
"think-doesnt_dance-?",0.291916448266911,"uncertain","uncertain"
"think-dances-?",0.519302256019165,"uncertain","uncertain"
"know-doesnt_dance-?",0.0870042354973293,"uncertain","uncertain"
"know-dances-?",0.101725781384229,"uncertain","uncertain"
"BARE-dances-?",0.000604574513525033,"doesnt_dance","doesnt_dance"
"think-doesnt_dance-?",0.0177650866846951,"doesnt_dance","doesnt_dance"
"think-dances-?",0.0243004348494903,"doesnt_dance","doesnt_dance"
"know-doesnt_dance-?",0.948618649850703,"doesnt_dance","doesnt_dance"
"know-dances-?",0.00871125410158622,"doesnt_dance","doesnt_dance"
"BARE-dances-?",0.985342621531195,"uncertain","null"
"think-doesnt_dance-?",0.00194376941021108,"uncertain","null"
"think-dances-?",0.000703829944443913,"uncertain","null"
"know-doesnt_dance-?",0.00891963010441633,"uncertain","null"
"know-dances-?",0.00309014900973402,"uncertain","null"
"BARE-dances-?",0.00188691898689527,"uncertain","doesnt_dance"
"think-doesnt_dance-?",0.474443830522141,"uncertain","doesnt_dance"
"think-dances-?",0.0146219425013033,"uncertain","doesnt_dance"
"know-doesnt_dance-?",0.487963637817499,"uncertain","doesnt_dance"
"know-dances-?",0.0210836701721617,"uncertain","doesnt_dance"
"BARE-dances-?",0.000422037112323096,"uncertain","dances"
"think-doesnt_dance-?",0.0184778077280932,"uncertain","dances"
"think-dances-?",0.0871184058215914,"uncertain","dances"
"know-doesnt_dance-?",0.00984530148933103,"uncertain","dances"
"know-dances-?",0.884136447848661,"uncertain","dances"
