condition,prior_condition,predicate,utterance_type,speaker_belief,ah_belief,speaker_YMax,speaker_YMin,ah_YMax,ah_YMin
empirical,high_prob,simple,pos,0.624376812,NA,0.6452,0.605,NA,NA
empirical,high_prob,think,pos,0.481971,0.630985507,0.5086,0.4542,0.6508,0.6111
empirical,high_prob,think,neg,0.5205217,0.634492754,0.554,0.4853,0.659,0.6065
empirical,high_prob,know,pos,0.8903478,0.489507246,0.9049,0.87336,0.5109,0.4649
empirical,high_prob,know,neg,0.858087,0.528811594,0.8795,0.834,0.5548,0.4996
model,high_prob,simple,pos,0.76374,NA,NA,NA,NA,NA
model,high_prob,think,pos,0.64649,0.829846,NA,NA,NA,NA
model,high_prob,think,neg,0.75092,0.75587,NA,NA,NA,NA
model,high_prob,know,pos,0.94156,0.6632,NA,NA,NA,NA
model,high_prob,know,neg,0.87832,0.67782,NA,NA,NA,NA
empirical,low_prob,simple,pos,0.360087,NA,0.383,0.3374,NA,NA
empirical,low_prob,think,pos,0.2308406,0.470608696,0.2532,0.2083,0.5,0.4432
empirical,low_prob,think,neg,0.3513623,0.551565217,0.3792,0.3234,0.5766,0.5256
empirical,low_prob,know,pos,0.7694493,0.342956522,0.7988,0.7401,0.3662,0.3221
empirical,low_prob,know,neg,0.8245507,0.402782609,0.8487,0.7956,0.4248,0.3803
model,low_prob,simple,pos,0.2655,NA,NA,NA,NA,NA
model,low_prob,think,pos,0.1215,0.28622,NA,NA,NA,NA
model,low_prob,think,neg,0.26879,0.27811,NA,NA,NA,NA
model,low_prob,know,pos,0.63336,0.18363,NA,NA,NA,NA
model,low_prob,know,neg,0.5313,0.24066,NA,NA,NA,NA
