"utterance","item","speaker_belief","prob"
"BARE-dances-?","Charley_H","dances",0.804344562904296
"BARE-dances-?","Charley_H","doesnt_dance",0.195655437095704
"BARE-dances-?","Charley_L","dances",0.281510855083858
"BARE-dances-?","Charley_L","doesnt_dance",0.718489144916142
"BARE-dances-?","Danny_H","dances",0.697696187774845
"BARE-dances-?","Danny_H","doesnt_dance",0.302303812225155
"BARE-dances-?","Danny_L","dances",0.284375403467452
"BARE-dances-?","Danny_L","doesnt_dance",0.715624596532548
"BARE-dances-?","Emily_H","dances",0.56379916907847
"BARE-dances-?","Emily_H","doesnt_dance",0.43620083092153
"BARE-dances-?","Emily_L","dances",0.155272929365577
"BARE-dances-?","Emily_L","doesnt_dance",0.844727070634423
"BARE-dances-?","Emma_H","dances",0.681574932026618
"BARE-dances-?","Emma_H","doesnt_dance",0.318425067973382
"BARE-dances-?","Emma_L","dances",0.32748169923729
"BARE-dances-?","Emma_L","doesnt_dance",0.67251830076271
"BARE-dances-?","Frank_H","dances",0.680542949654462
"BARE-dances-?","Frank_H","doesnt_dance",0.319457050345537
"BARE-dances-?","Frank_L","dances",0.17349007956658
"BARE-dances-?","Frank_L","doesnt_dance",0.826509920433419
"BARE-dances-?","Grace_H","dances",0.789949118080363
"BARE-dances-?","Grace_H","doesnt_dance",0.210050881919637
"BARE-dances-?","Grace_L","dances",0.252161654350644
"BARE-dances-?","Grace_L","doesnt_dance",0.747838345649356
"BARE-dances-?","Isabella_H","dances",0.520479188481568
"BARE-dances-?","Isabella_H","doesnt_dance",0.479520811518432
"BARE-dances-?","Isabella_L","dances",0.129042457430062
"BARE-dances-?","Isabella_L","doesnt_dance",0.870957542569938
"BARE-dances-?","Jackson_H","dances",0.774877864185807
"BARE-dances-?","Jackson_H","doesnt_dance",0.225122135814193
"BARE-dances-?","Jackson_L","dances",0.190023259475043
"BARE-dances-?","Jackson_L","doesnt_dance",0.809976740524957
"BARE-dances-?","Jayden_H","dances",0.688527576919468
"BARE-dances-?","Jayden_H","doesnt_dance",0.311472423080532
"BARE-dances-?","Jayden_L","dances",0.179504905911338
"BARE-dances-?","Jayden_L","doesnt_dance",0.820495094088662
"BARE-dances-?","Jon_H","dances",0.756002822755238
