"qud","utterance","prob","speaker_belief","ah_belief"
"MC","BARE-dances-?",0.000831957353439081,"dances","dances"
"MC","think-doesnt_dance-?",0.0898854912685063,"dances","dances"
"MC","think-dances-?",0.491124719429972,"dances","dances"
"MC","know-doesnt_dance-?",0.0110941407897368,"dances","dances"
"MC","know-dances-?",0.407063691158346,"dances","dances"
"MC","BARE-dances-?",0.000479728240082391,"doesnt_dance","dances"
"MC","think-doesnt_dance-?",0.0230122628891812,"doesnt_dance","dances"
"MC","think-dances-?",0.567633148220846,"doesnt_dance","dances"
"MC","know-doesnt_dance-?",0.388540952661092,"doesnt_dance","dances"
"MC","know-dances-?",0.0203339079887983,"doesnt_dance","dances"
"MC","BARE-dances-?",0.00049985040304585,"doesnt_dance","doesnt_dance"
"MC","think-doesnt_dance-?",0.322724590855277,"doesnt_dance","doesnt_dance"
"MC","think-dances-?",0.444783647219924,"doesnt_dance","doesnt_dance"
"MC","know-doesnt_dance-?",0.219460378572152,"doesnt_dance","doesnt_dance"
"MC","know-dances-?",0.0125315329496006,"doesnt_dance","doesnt_dance"
"CC","BARE-dances-?",0.891981426372517,"doesnt_dance","null"
"CC","think-doesnt_dance-?",0.0202038068351218,"doesnt_dance","null"
"CC","think-dances-?",0.0185019857420546,"doesnt_dance","null"
"CC","know-doesnt_dance-?",0.0546872521028017,"doesnt_dance","null"
"CC","know-dances-?",0.0146255289475045,"doesnt_dance","null"
"MC","BARE-dances-?",0.865515881958108,"dances","null"
"MC","think-doesnt_dance-?",0.0257185958643486,"dances","null"
"MC","think-dances-?",0.0726535558425408,"dances","null"
"MC","know-doesnt_dance-?",0.0172868675761445,"dances","null"
"MC","know-dances-?",0.018825098758858,"dances","null"
"CC","BARE-dances-?",2.9241878600858e-05,"dances","doesnt_dance"
"CC","think-doesnt_dance-?",0.397092921714292,"dances","doesnt_dance"
"CC","think-dances-?",0.472696626494337,"dances","doesnt_dance"
"CC","know-doesnt_dance-?",0.0657733216865613,"dances","doesnt_dance"
"CC","know-dances-?",0.0644078882262089,"dances","doesnt_dance"
