item,content,prior_type,state,n,prop
Charley_H,Charley speaks Spanish,factH,1,1,0.002380952
Charley_H,Charley speaks Spanish,factH,2,0,0
Charley_H,Charley speaks Spanish,factH,3,3,0.007142857
Charley_H,Charley speaks Spanish,factH,4,4,0.00952381
Charley_H,Charley speaks Spanish,factH,5,10,0.023809524
Charley_H,Charley speaks Spanish,factH,6,12,0.028571429
Charley_H,Charley speaks Spanish,factH,7,26,0.061904762
Charley_H,Charley speaks Spanish,factH,8,65,0.154761905
Charley_H,Charley speaks Spanish,factH,9,103,0.245238095
Charley_H,Charley speaks Spanish,factH,10,196,0.466666667
Charley_L,Charley speaks Spanish,factL,1,86,0.192825112
Charley_L,Charley speaks Spanish,factL,2,101,0.226457399
Charley_L,Charley speaks Spanish,factL,3,82,0.183856502
Charley_L,Charley speaks Spanish,factL,4,78,0.174887892
Charley_L,Charley speaks Spanish,factL,5,46,0.103139013
Charley_L,Charley speaks Spanish,factL,6,31,0.069506726
Charley_L,Charley speaks Spanish,factL,7,5,0.011210762
Charley_L,Charley speaks Spanish,factL,8,10,0.022421525
Charley_L,Charley speaks Spanish,factL,9,5,0.011210762
Charley_L,Charley speaks Spanish,factL,10,2,0.004484305
Danny_H,Danny ate the last cupcake,factH,1,1,0.002347418
Danny_H,Danny ate the last cupcake,factH,2,4,0.009389671
Danny_H,Danny ate the last cupcake,factH,3,1,0.002347418
Danny_H,Danny ate the last cupcake,factH,4,6,0.014084507
Danny_H,Danny ate the last cupcake,factH,5,32,0.075117371
Danny_H,Danny ate the last cupcake,factH,6,90,0.211267606
Danny_H,Danny ate the last cupcake,factH,7,82,0.192488263
Danny_H,Danny ate the last cupcake,factH,8,97,0.227699531
Danny_H,Danny ate the last cupcake,factH,9,66,0.154929577
Danny_H,Danny ate the last cupcake,factH,10,47,0.110328638
Danny_L,Danny ate the last cupcake,factL,1,108,0.245454545
Danny_L,Danny ate the last cupcake,factL,2,109,0.247727273
Danny_L,Danny ate the last cupcake,factL,3,81,0.184090909
Danny_L,Danny ate the last cupcake,factL,4,56,0.127272727
Danny_L,Danny ate the last cupcake,factL,5,30,0.068181818
Danny_L,Danny ate the last cupcake,factL,6,28,0.063636364
Danny_L,Danny ate the last cupcake,factL,7,11,0.025
Danny_L,Danny ate the last cupcake,factL,8,6,0.013636364
Danny_L,Danny ate the last cupcake,factL,9,7,0.015909091
Danny_L,Danny ate the last cupcake,factL,10,4,0.009090909
Emily_H,Emily bought a car yesterday,factH,1,21,0.048837209
Emily_H,Emily bought a car yesterday,factH,2,13,0.030232558
Emily_H,Emily bought a car yesterday,factH,3,33,0.076744186
Emily_H,Emily bought a car yesterday,factH,4,34,0.079069767
Emily_H,Emily bought a car yesterday,factH,5,82,0.190697674
Emily_H,Emily bought a car yesterday,factH,6,109,0.253488372
Emily_H,Emily bought a car yesterday,factH,7,57,0.13255814
Emily_H,Emily bought a car yesterday,factH,8,37,0.086046512
Emily_H,Emily bought a car yesterday,factH,9,19,0.044186047
Emily_H,Emily bought a car yesterday,factH,10,25,0.058139535
Emily_L,Emily bought a car yesterday,factL,1,265,0.607798165
Emily_L,Emily bought a car yesterday,factL,2,78,0.178899083
Emily_L,Emily bought a car yesterday,factL,3,44,0.100917431
Emily_L,Emily bought a car yesterday,factL,4,17,0.038990826
Emily_L,Emily bought a car yesterday,factL,5,8,0.018348624
Emily_L,Emily bought a car yesterday,factL,6,12,0.027522936
Emily_L,Emily bought a car yesterday,factL,7,3,0.006880734
Emily_L,Emily bought a car yesterday,factL,8,4,0.009174312
Emily_L,Emily bought a car yesterday,factL,9,3,0.006880734
Emily_L,Emily bought a car yesterday,factL,10,2,0.004587156
Emma_H,Emma studied on Saturday morning,factH,1,0,0
Emma_H,Emma studied on Saturday morning,factH,2,4,0.009237875
Emma_H,Emma studied on Saturday morning,factH,3,3,0.006928406
Emma_H,Emma studied on Saturday morning,factH,4,13,0.030023095
Emma_H,Emma studied on Saturday morning,factH,5,19,0.043879908
Emma_H,Emma studied on Saturday morning,factH,6,70,0.161662818
Emma_H,Emma studied on Saturday morning,factH,7,87,0.200923788
Emma_H,Emma studied on Saturday morning,factH,8,92,0.212471132
Emma_H,Emma studied on Saturday morning,factH,9,84,0.193995381
Emma_H,Emma studied on Saturday morning,factH,10,61,0.140877598
Emma_L,Emma studied on Saturday morning,factL,1,110,0.25404157
Emma_L,Emma studied on Saturday morning,factL,2,96,0.221709007
Emma_L,Emma studied on Saturday morning,factL,3,62,0.143187067
Emma_L,Emma studied on Saturday morning,factL,4,45,0.103926097
Emma_L,Emma studied on Saturday morning,factL,5,31,0.071593533
Emma_L,Emma studied on Saturday morning,factL,6,40,0.092378753
Emma_L,Emma studied on Saturday morning,factL,7,25,0.057736721
Emma_L,Emma studied on Saturday morning,factL,8,12,0.027713626
Emma_L,Emma studied on Saturday morning,factL,9,4,0.009237875
Emma_L,Emma studied on Saturday morning,factL,10,8,0.018475751
Frank_H,Frank got a cat,factH,1,1,0.002267574
Frank_H,Frank got a cat,factH,2,3,0.006802721
Frank_H,Frank got a cat,factH,3,7,0.015873016
Frank_H,Frank got a cat,factH,4,10,0.022675737
Frank_H,Frank got a cat,factH,5,47,0.106575964
Frank_H,Frank got a cat,factH,6,110,0.249433107
Frank_H,Frank got a cat,factH,7,82,0.185941043
Frank_H,Frank got a cat,factH,8,75,0.170068027
Frank_H,Frank got a cat,factH,9,62,0.140589569
Frank_H,Frank got a cat,factH,10,44,0.099773243
Frank_L,Frank got a cat,factL,1,262,0.616470588
Frank_L,Frank got a cat,factL,2,86,0.202352941
Frank_L,Frank got a cat,factL,3,34,0.08
Frank_L,Frank got a cat,factL,4,11,0.025882353
Frank_L,Frank got a cat,factL,5,9,0.021176471
Frank_L,Frank got a cat,factL,6,3,0.007058824
