"speaker_belief","utterance","prob"
10,"BARE-dances-?",0.0320482709044645
10,"think-doesnt_dance-?",0.179819636746673
10,"think-dances-?",0.00672697135009246
10,"know-doesnt_dance-?",0.0301519092162137
10,"know-dances-?",0.751253211782557
1,"BARE-dances-?",0.0339772585468037
1,"think-doesnt_dance-?",0.072677216829227
1,"think-dances-?",0.08509287853508
1,"know-doesnt_dance-?",0.806329879437902
1,"know-dances-?",0.00192276665098685
2,"BARE-dances-?",0.62079617501632
2,"think-doesnt_dance-?",0.062791758634722
2,"think-dances-?",0.122779779288075
2,"know-doesnt_dance-?",0.178281237342812
2,"know-dances-?",0.0153510497180704
7,"BARE-dances-?",0.827821419815445
7,"think-doesnt_dance-?",0.116737141939908
7,"think-dances-?",0.0210748394197617
7,"know-doesnt_dance-?",0.00340399863640022
7,"know-dances-?",0.0309626001884849
4,"BARE-dances-?",0.823506344149139
4,"think-doesnt_dance-?",0.0652165157528456
4,"think-dances-?",0.0574996600503948
4,"know-doesnt_dance-?",0.04404122490595
4,"know-dances-?",0.0097362551416708
9,"BARE-dances-?",0.617584497901656
9,"think-doesnt_dance-?",0.16286196662477
9,"think-dances-?",0.0165187213699252
9,"know-doesnt_dance-?",0.0159511823682462
9,"know-dances-?",0.187083631735402
8,"BARE-dances-?",0.671517091755779
8,"think-doesnt_dance-?",0.169157941028942
8,"think-dances-?",0.0269227360682771
8,"know-doesnt_dance-?",0.0165873062024213
8,"know-dances-?",0.115814924944581
5,"BARE-dances-?",0.770353258323721
5,"think-doesnt_dance-?",0.123021179605521
5,"think-dances-?",0.0717309068830415
5,"know-doesnt_dance-?",0.0127478427286348
5,"know-dances-?",0.0221468124590814
6,"BARE-dances-?",0.773258431027887
6,"think-doesnt_dance-?",0.0971966285685772
6,"think-dances-?",0.0796084908234226
6,"know-doesnt_dance-?",0.027203163220993
6,"know-dances-?",0.02273328635912
3,"BARE-dances-?",0.704578898657301
3,"think-doesnt_dance-?",0.0870919475427035
3,"think-dances-?",0.108035698613245
3,"know-doesnt_dance-?",0.0795579713366186
3,"know-dances-?",0.020735483850131
